periodo,instituicao,tipo_de_especialidade,doentes_saidos,dias_de_internamento,length_patient,new_var,fonte,multiplicacao,eriodo,year,month,week,weekday,doentes_saidos_lag,dias_de_internamento_lag,doentes_saidos_var,dias_de_internamento_var,cat1,cat2,instituicao1,instituicao2,length_stay_var,tipo_instituicao
2015-03-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,2891,14415,5,2,transparencia_sns,41673765,2015-03-01,2015,3,9,dom,1885,9348,1006,5067,Muitos doentes,Muitos doentes,"Centro Hospitalar Tâmega e Sousa, EPE","Centro Hospitalar Tâmega e Sousa, EPE",5.03677932405567,Hospital
2015-03-01,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Especialidade Cirurgica,2314,13982,6,2,transparencia_sns,32354348,2015-03-01,2015,3,9,dom,1473,8969,841,5013,Muitos doentes,Muitos doentes,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",5.96076099881094,Hospital
2015-03-01,"Hospital da Senhora da Oliveira, Guimarães, EPE",Especialidade Cirurgica,2553,15686,6.1,2,transparencia_sns,40046358,2015-03-01,2015,3,9,dom,1625,9792,928,5894,Muitos doentes,Muitos doentes,"Hospital da Senhora da Oliveira, Guimarães, EPE","Hospital da Senhora da Oliveira, Guimarães, EPE",6.35129310344828,Hospital
2015-03-01,"Hospital de Braga, PPP",Especialidade Cirurgica,3988,23555,5.9,2,transparencia_sns,93937340,2015-03-01,2015,3,9,dom,2541,14818,1447,8737,Muitos doentes,Muitos doentes,"Hospital de Braga, EPE","Hospital de Braga, EPE",6.03800967519005,Hospital
2015-03-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,1613,12608,7.8,2,transparencia_sns,20336704,2015-03-01,2015,3,9,dom,1054,8173,559,4435,Muitos doentes,Muitos doentes,"Instituto Português Oncologia do Porto, EPE","Instituto Português Oncologia do Porto, EPE",7.93381037567084,Cancer hospital
2015-03-01,"Unidade Local de Saúde do Alto Minho, EPE",Especialidade Cirurgica,2292,13448,5.9,2,transparencia_sns,30822816,2015-03-01,2015,3,9,dom,1454,8393,838,5055,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Alto Minho, EPE","Unidade Local de Saúde do Alto Minho, EPE",6.03221957040573,Hospital
2015-04-01,"Unidade Local de Saúde do Norte Alentejano, EPE",Especialidade Cirurgica,1281,8986,7,2,transparencia_sns,11511066,2015-04-01,2015,4,14,qua,961,6780,320,2206,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Norte Alentejano, EPE","Unidade Local de Saúde do Norte Alentejano, EPE",6.89375,Hospital
2015-04-01,"Centro Hospitalar Universitário Cova da Beira, EPE",Especialidade Cirurgica,1437,10385,7.2,2,transparencia_sns,14923245,2015-04-01,2015,4,14,qua,1024,7760,413,2625,Muitos doentes,Muitos doentes,"Centro Hospitalar Universitário Cova da Beira, EPE","Centro Hospitalar Universitário Cova da Beira, EPE",6.35593220338983,University
2015-04-01,"Centro Hospitalar e Universitário de Coimbra, EPE",Especialidade Cirurgica,11336,80287,7.1,2,transparencia_sns,910133432,2015-04-01,2015,4,14,qua,8543,60513,2793,19774,Muitos doentes,Muitos doentes,"Centro Hospitalar e Universitário de Coimbra, EPE","Centro Hospitalar e Universitário de Coimbra, EPE",7.07984246330111,University
2015-04-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,167,686,4.1,2,transparencia_sns,114562,2015-04-01,2015,4,14,qua,122,507,45,179,Poucos doentes,Pouquissímos doentes,Hospital Dr. Francisco Zagalo,Hospital Dr. Francisco Zagalo,3.97777777777778,Hospital
2015-04-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,1436,9229,6.4,2,transparencia_sns,13252844,2015-04-01,2015,4,14,qua,1082,6925,354,2304,Muitos doentes,Muitos doentes,"Instituto Português Oncologia de Coimbra, EPE","Instituto Português Oncologia de Coimbra, EPE",6.50847457627119,Cancer hospital
2015-04-01,"Centro Hospitalar do Médio Ave, EPE",Especialidade Cirurgica,2315,13369,5.8,2,transparencia_sns,30949235,2015-04-01,2015,4,14,qua,1700,10054,615,3315,Muitos doentes,Muitos doentes,"Centro Hospitalar do Médio Ave, EPE","Centro Hospitalar do Médio Ave, EPE",5.39024390243903,Hospital
2015-04-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,568,3334,5.9,2,transparencia_sns,1893712,2015-04-01,2015,4,14,qua,411,2524,157,810,Poucos doentes,Pouquissímos doentes,"Hospital Santa Maria Maior, EPE","Hospital Santa Maria Maior, EPE",5.15923566878981,Hospital
2015-04-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,1764,11033,6.3,2,transparencia_sns,19462212,2015-04-01,2015,4,14,qua,1433,8863,331,2170,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Nordeste, EPE","Unidade Local de Saúde do Nordeste, EPE",6.5558912386707,Hospital
2015-05-01,"Unidade Local de Saúde do Litoral Alentejano, EPE",Especialidade Cirurgica,929,5235,5.6,2,transparencia_sns,4863315,2015-05-01,2015,5,18,sex,754,4343,175,892,Poucos doentes,Pouquissímos doentes,"Unidade Local de Saúde do Litoral Alentejano, EPE","Unidade Local de Saúde do Litoral Alentejano, EPE",5.09714285714286,Hospital
2015-05-01,"Centro Hospitalar Barreiro/Montijo, EPE",Especialidade Cirurgica,2340,14206,6.1,2,transparencia_sns,33242040,2015-05-01,2015,5,18,sex,1912,11500,428,2706,Muitos doentes,Muitos doentes,"Centro Hospitalar Barreiro/Montijo, EPE","Centro Hospitalar Barreiro/Montijo, EPE",6.32242990654206,Hospital
2015-05-01,"Centro Hospitalar Médio Tejo, EPE",Especialidade Cirurgica,2866,17877,6.2,2,transparencia_sns,51235482,2015-05-01,2015,5,18,sex,2269,14285,597,3592,Muitos doentes,Muitos doentes,"Centro Hospitalar Médio Tejo, EPE","Centro Hospitalar Médio Tejo, EPE",6.01675041876047,Hospital
2015-05-01,"Hospital de Loures, PPP",Especialidade Cirurgica,3513,20365,5.8,2,transparencia_sns,71542245,2015-05-01,2015,5,18,sex,2778,15927,735,4438,Muitos doentes,Muitos doentes,"Hospital de Loures, PPP","Hospital de Loures, PPP",6.03809523809524,Hospital
2015-05-01,"Instituto Português Oncologia de Lisboa, EPE",Especialidade Cirurgica,2189,13597,6.2,2,transparencia_sns,29763833,2015-05-01,2015,5,18,sex,1770,10910,419,2687,Muitos doentes,Muitos doentes,"Instituto Português Oncologia de Lisboa, EPE","Instituto Português Oncologia de Lisboa, EPE",6.41288782816229,Cancer hospital
2015-05-01,"Centro Hospitalar Universitário de São João, EPE",Especialidade Cirurgica,10700,67297,6.3,2,transparencia_sns,720077900,2015-05-01,2015,5,18,sex,8581,53317,2119,13980,Muitos doentes,Muitos doentes,"Centro Hospitalar Universitário de São João, EPE","Centro Hospitalar Universitário de São João, EPE",6.59745162812648,University
2015-05-01,"Centro Hospitalar Entre Douro e Vouga, EPE",Especialidade Cirurgica,4817,20483,4.3,2,transparencia_sns,98666611,2015-05-01,2015,5,18,sex,3686,16006,1131,4477,Muitos doentes,Muitos doentes,"Centro Hospitalar Entre Douro e Vouga, EPE","Centro Hospitalar Entre Douro e Vouga, EPE",3.95844385499558,Hospital
2015-05-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,4917,23666,4.8,2,transparencia_sns,116365722,2015-05-01,2015,5,18,sex,3895,19074,1022,4592,Muitos doentes,Muitos doentes,"Centro Hospitalar Tâmega e Sousa, EPE","Centro Hospitalar Tâmega e Sousa, EPE",4.49315068493151,Hospital
2015-05-01,"Hospital de Braga, PPP",Especialidade Cirurgica,6632,39967,6,2,transparencia_sns,265061144,2015-05-01,2015,5,18,sex,5295,31572,1337,8395,Muitos doentes,Muitos doentes,"Hospital de Braga, EPE","Hospital de Braga, EPE",6.27898279730741,Hospital
2015-06-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,5298,37755,7.1,2,transparencia_sns,200025990,2015-06-01,2015,6,22,seg,4340,31013,958,6742,Muitos doentes,Muitos doentes,"Centro Hospitalar Tondela-Viseu, EPE","Centro Hospitalar Tondela-Viseu, EPE",7.03757828810021,Hospital
2015-06-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,2116,13582,6.4,2,transparencia_sns,28739512,2015-06-01,2015,6,22,seg,1800,11574,316,2008,Muitos doentes,Muitos doentes,"Instituto Português Oncologia de Coimbra, EPE","Instituto Português Oncologia de Coimbra, EPE",6.35443037974684,Cancer hospital
2015-06-01,"Unidade Local de Saúde da Guarda, EPE",Especialidade Cirurgica,1996,14736,7.4,2,transparencia_sns,29413056,2015-06-01,2015,6,22,seg,1647,12398,349,2338,Muitos doentes,Muitos doentes,"Unidade Local de Saúde da Guarda, EPE","Unidade Local de Saúde da Guarda, EPE",6.69914040114613,Hospital
2015-06-01,"Centro Hospitalar Barreiro/Montijo, EPE",Especialidade Cirurgica,2761,16748,6.1,2,transparencia_sns,46241228,2015-06-01,2015,6,22,seg,2340,14206,421,2542,Muitos doentes,Muitos doentes,"Centro Hospitalar Barreiro/Montijo, EPE","Centro Hospitalar Barreiro/Montijo, EPE",6.03800475059382,Hospital
2015-06-01,"Centro Hospitalar de Lisboa Ocidental, EPE",Especialidade Cirurgica,6425,50804,7.9,2,transparencia_sns,326415700,2015-06-01,2015,6,22,seg,5353,42616,1072,8188,Muitos doentes,Muitos doentes,"Centro Hospitalar de Lisboa Ocidental, EPE","Centro Hospitalar de Lisboa Ocidental, EPE",7.63805970149254,Hospital
2015-06-01,"Hospital de Vila Franca de Xira, PPP",Especialidade Cirurgica,3173,16181,5.1,2,transparencia_sns,51342313,2015-06-01,2015,6,22,seg,2612,13373,561,2808,Muitos doentes,Muitos doentes,"Hospital de Vila Franca de Xira, EPE","Hospital de Vila Franca de Xira, EPE",5.00534759358289,Hospital
2015-06-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,5440,31228,5.7,2,transparencia_sns,169880320,2015-06-01,2015,6,22,seg,4541,26738,899,4490,Muitos doentes,Muitos doentes,"Hospital Garcia de Orta, EPE","Hospital Garcia de Orta, EPE",4.9944382647386,Hospital
2015-06-01,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",Especialidade Cirurgica,4509,27773,6.2,2,transparencia_sns,125228457,2015-06-01,2015,6,22,seg,3803,23118,706,4655,Muitos doentes,Muitos doentes,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","Centro Hospitalar Trás-os-Montes e Alto Douro, EPE",6.59348441926346,Hospital
2015-06-01,"Hospital Santa Maria Maior, EPE",Especialidade Cirurgica,880,5451,6.2,2,transparencia_sns,4796880,2015-06-01,2015,6,22,seg,712,4380,168,1071,Poucos doentes,Pouquissímos doentes,"Hospital Santa Maria Maior, EPE","Hospital Santa Maria Maior, EPE",6.375,Hospital
2015-06-01,"Unidade Local de Saúde do Alto Minho, EPE",Especialidade Cirurgica,4652,27444,5.9,2,transparencia_sns,127669488,2015-06-01,2015,6,22,seg,3875,22901,777,4543,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Alto Minho, EPE","Unidade Local de Saúde do Alto Minho, EPE",5.84684684684685,Hospital
2015-07-01,"Centro Hospitalar do Baixo Vouga, EPE",Especialidade Cirurgica,4918,28212,5.7,2,transparencia_sns,138746616,2015-07-01,2015,7,27,qua,4217,24416,701,3796,Muitos doentes,Muitos doentes,"Centro Hospitalar do Baixo Vouga, EPE","Centro Hospitalar do Baixo Vouga, EPE",5.4151212553495,Hospital
2015-07-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,6347,44731,7,2,transparencia_sns,283907657,2015-07-01,2015,7,27,qua,5298,37755,1049,6976,Muitos doentes,Muitos doentes,"Centro Hospitalar Tondela-Viseu, EPE","Centro Hospitalar Tondela-Viseu, EPE",6.65014299332698,Hospital
2015-07-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,294,1304,4.4,2,transparencia_sns,383376,2015-07-01,2015,7,27,qua,235,1067,59,237,Poucos doentes,Pouquissímos doentes,Hospital Dr. Francisco Zagalo,Hospital Dr. Francisco Zagalo,4.01694915254237,Hospital
2015-07-01,"Centro Hospitalar Universitário Lisboa Central, EPE",Especialidade Cirurgica,15464,111770,7.2,2,transparencia_sns,1728411280,2015-07-01,2015,7,27,qua,13254,95934,2210,15836,Muitos doentes,Muitos doentes,"Centro Hospitalar Universitário Lisboa Central, EPE","Centro Hospitalar Universitário Lisboa Central, EPE",7.16561085972851,University
2015-07-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,6912,32694,4.7,2,transparencia_sns,225980928,2015-07-01,2015,7,27,qua,5867,27859,1045,4835,Muitos doentes,Muitos doentes,"Centro Hospitalar Tâmega e Sousa, EPE","Centro Hospitalar Tâmega e Sousa, EPE",4.62679425837321,Hospital
2015-07-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,3799,29547,7.8,2,transparencia_sns,112249053,2015-07-01,2015,7,27,qua,3213,24947,586,4600,Muitos doentes,Muitos doentes,"Instituto Português Oncologia do Porto, EPE","Instituto Português Oncologia do Porto, EPE",7.84982935153584,Cancer hospital
2015-07-01,"Unidade Local de Saúde de Matosinhos, EPE",Especialidade Cirurgica,5254,29723,5.7,2,transparencia_sns,156164642,2015-07-01,2015,7,27,qua,4427,25550,827,4173,Muitos doentes,Muitos doentes,"Unidade Local de Saúde de Matosinhos, EPE","Unidade Local de Saúde de Matosinhos, EPE",5.0459492140266,Hospital
2015-07-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,3230,19351,6,2,transparencia_sns,62503730,2015-07-01,2015,7,27,qua,2722,16547,508,2804,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Nordeste, EPE","Unidade Local de Saúde do Nordeste, EPE",5.51968503937008,Hospital
2015-08-01,"Unidade Local de Saúde do Litoral Alentejano, EPE",Especialidade Cirurgica,1452,8129,5.6,2,transparencia_sns,11803308,2015-08-01,2015,8,31,sáb,1289,7158,163,971,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Litoral Alentejano, EPE","Unidade Local de Saúde do Litoral Alentejano, EPE",5.95705521472393,Hospital
2015-08-01,"Unidade Local de Saúde do Norte Alentejano, EPE",Especialidade Cirurgica,2522,17991,7.1,2,transparencia_sns,45373302,2015-08-01,2015,8,31,sáb,2198,15747,324,2244,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Norte Alentejano, EPE","Unidade Local de Saúde do Norte Alentejano, EPE",6.92592592592593,Hospital
2015-08-01,"Centro Hospitalar Universitário do Algarve,EPE",Especialidade Cirurgica,9561,69143,7.2,2,transparencia_sns,661076223,2015-08-01,2015,8,31,sáb,8407,60421,1154,8722,Muitos doentes,Muitos doentes,"Centro Hospitalar Universitário do Algarve,EPE","Centro Hospitalar Universitário do Algarve,EPE",7.5580589254766,University
2015-08-01,"Centro Hospitalar do Baixo Vouga, EPE",Especialidade Cirurgica,5495,31946,5.8,2,transparencia_sns,175543270,2015-08-01,2015,8,31,sáb,4918,28212,577,3734,Muitos doentes,Muitos doentes,"Centro Hospitalar do Baixo Vouga, EPE","Centro Hospitalar do Baixo Vouga, EPE",6.47140381282496,Hospital
2015-08-01,Hospital Dr. Francisco Zagalo,Especialidade Cirurgica,300,1325,4.4,2,transparencia_sns,397500,2015-08-01,2015,8,31,sáb,294,1304,6,21,Poucos doentes,Pouquissímos doentes,Hospital Dr. Francisco Zagalo,Hospital Dr. Francisco Zagalo,3.5,Hospital
2015-08-01,"Instituto Português Oncologia de Coimbra, EPE",Especialidade Cirurgica,2699,18003,6.7,2,transparencia_sns,48590097,2015-08-01,2015,8,31,sáb,2452,15995,247,2008,Muitos doentes,Muitos doentes,"Instituto Português Oncologia de Coimbra, EPE","Instituto Português Oncologia de Coimbra, EPE",8.12955465587045,Cancer hospital
2015-08-01,"Centro Hospitalar Barreiro/Montijo, EPE",Especialidade Cirurgica,3564,21551,6,2,transparencia_sns,76807764,2015-08-01,2015,8,31,sáb,3177,19308,387,2243,Muitos doentes,Muitos doentes,"Centro Hospitalar Barreiro/Montijo, EPE","Centro Hospitalar Barreiro/Montijo, EPE",5.79586563307494,Hospital
2015-08-01,"Hospital Distrital de Santarém, EPE",Especialidade Cirurgica,4177,31479,7.5,2,transparencia_sns,131487783,2015-08-01,2015,8,31,sáb,3618,27222,559,4257,Muitos doentes,Muitos doentes,"Hospital Distrital de Santarém, EPE","Hospital Distrital de Santarém, EPE",7.61538461538462,Hospital
2015-08-01,"Hospital Garcia de Orta, EPE",Especialidade Cirurgica,7182,42370,5.9,2,transparencia_sns,304301340,2015-08-01,2015,8,31,sáb,6334,36406,848,5964,Muitos doentes,Muitos doentes,"Hospital Garcia de Orta, EPE","Hospital Garcia de Orta, EPE",7.03301886792453,Hospital
2015-08-01,"Centro Hospitalar Tâmega e Sousa, EPE",Especialidade Cirurgica,7851,37259,4.7,2,transparencia_sns,292520409,2015-08-01,2015,8,31,sáb,6912,32694,939,4565,Muitos doentes,Muitos doentes,"Centro Hospitalar Tâmega e Sousa, EPE","Centro Hospitalar Tâmega e Sousa, EPE",4.86155484558041,Hospital
2015-08-01,"Instituto Português Oncologia do Porto, EPE",Especialidade Cirurgica,4201,33151,7.9,2,transparencia_sns,139267351,2015-08-01,2015,8,31,sáb,3799,29547,402,3604,Muitos doentes,Muitos doentes,"Instituto Português Oncologia do Porto, EPE","Instituto Português Oncologia do Porto, EPE",8.96517412935323,Cancer hospital
2015-08-01,"Unidade Local de Saúde do Nordeste, EPE",Especialidade Cirurgica,3632,21885,6,2,transparencia_sns,79486320,2015-08-01,2015,8,31,sáb,3230,19351,402,2534,Muitos doentes,Muitos doentes,"Unidade Local de Saúde do Nordeste, EPE","Unidade Local de Saúde do Nordeste, EPE",6.30348258706468,Hospital
2015-09-01,"Centro Hospitalar Tondela-Viseu, EPE",Especialidade Cirurgica,8136,57721,7.1,2,transparencia_sns,469618056,2015-09-01,2015,9,35,ter,7198,51173,938,6548,Muitos doentes,Muitos doentes,"Centro Hospitalar Tondela-Viseu, EPE","Centro Hospitalar Tondela-Viseu, EPE",6.98081023454158,Hospital
