Período;Região;Instituição;Localização Geográfica;Médicos S/ Internos;Médicos Internos;Enfermeiros;Técnicos Superiores de Saúde;Farmacêuticos;Técnicos de Diagnóstico e Terapêutica;Assistentes Técnicos;Assistentes Operacionais;Técnicos Superiores;Informáticos;Outros;Total Geral
2017-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;972;386;1241;70;;150;1028;484;;;241;4572
2017-06;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1914;757;2478;160;;300;1904;651;;;408;8572
2017-06;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1958;847;2696;152;;193;1963;807;;;430;9046
2017-07;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;970;389;1239;72;;150;1027;482;;;239;4568
2017-07;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1908;764;2487;161;;299;1899;651;;;407;8576
2017-08;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;6;6;;;22;34
2017-08;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;117;37;191;16;;25;178;88;;;87;739
2017-08;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;1907;761;2487;160;;298;1885;648;;;419;8565
2017-09;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;117;37;191;16;;26;178;87;;;87;739
2017-09;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;970;389;1236;71;;150;1024;485;;;239;4564
2017-11;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;116;35;191;16;;26;181;81;;;86;732
2017-10;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;966;384;1235;71;;150;1022;483;;;239;4550
2017-11;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;260;86;427;33;;100;309;187;;;107;1509
2018-01;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;186;115;626;11;;155;164;430;37;8;15;1747
2018-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;1050;681;2465;60;;627;714;1783;138;26;46;7590
2018-01;Região de Saúde Norte;Centro Hospitalar Universitário de S. João, E.P.E.;41.1831056,-8.6010558;884;620;2156;34;;338;400;1146;158;23;39;5798
2018-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984,-8.4802503;168;60;384;12;;77;109;257;14;3;15;1099
2018-01;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;159;116;557;15;;112;187;309;24;7;12;1498
2018-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;454;309;1551;21;;322;506;1042;148;22;30;4405
2018-01;Região de Saúde Norte;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;41.1094138,-8.5972617;516;368;1130;31;;184;275;789;58;14;19;3384
2018-01;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015,-8.5933462;4;0;34;2;;8;21;21;3;1;3;97
2018-01;Região de Saúde Norte;Hospital da Senhora da Oliveira - Guimarães, E.P.E.;41.4387173,-8.3086907;252;180;628;11;;98;123;297;32;4;11;1636
2018-01;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713,-9.1822554;385;227;948;11;;195;223;597;65;10;27;2688
2018-01;Região de Saúde do Centro;Instituto Português Oncologia Francisco Gentil - Coimbra, E.P.E.;40.2162514,-8.4103814;143;48;269;27;;93;123;255;27;5;11;1001
2018-01;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, E.P.E.;39.8212263,-7.4981271;153;61;470;16;;73;172;275;31;11;9;1271
2018-01;Região de Saúde Norte;Unidade Local de Saúde Matosinhos, E.P.E.;41.1794456,-8.6745115;404;258;788;9;;127;284;381;54;12;28;2345
2018-01;Região de Saúde do Alentejo;Unidade Local de Saúde Norte Alentejano, E.P.E.;39.3003425,-7.4263845;151;56;560;6;;111;242;366;41;9;23;1565
2018-02;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;260;98;460;33;;101;308;186;86;9;13;1554
2018-02;Serviços Centrais;Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.;38.7582532,-9.1502867;0;0;0;9;;2;77;6;229;3;34;360
2018-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;541;419;1298;28;;301;378;873;78;12;27;3955
2018-02;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;253;139;696;18;;116;138;367;21;5;14;1767
2018-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;992;764;2875;118;;484;698;1661;136;29;54;7811
2018-02;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E.P.E.;39.478072,-8.5404429;155;84;730;25;;144;172;521;51;12;14;1908
2018-02;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;194;128;498;4;;124;150;337;35;7;25;1502
2018-02;Região de Saúde LVT;Instituto de Oftalmologia Gama Pinto;38.7218793,-9.144249;31;8;22;1;;10;18;14;5;1;7;117
2018-02;Serviços Centrais;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827,-9.1663422;7;0;3;94;;106;88;59;81;2;53;493
2018-02;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;89;49;353;6;;73;150;197;16;5;13;951
2018-02;Região de Saúde Norte;Unidade Local de Saúde Nordeste, E.P.E.;41.8056532,-6.7888197;205;109;639;21;;129;271;409;58;15;6;1862
2018-03;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;2006;833;2684;163;;304;1860;643;351;33;40;8917
2018-03;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;1982;888;2813;152;;194;1983;749;377;23;33;9194
2018-03;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;256;138;698;18;;117;138;366;21;5;16;1773
2018-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;54;48;158;47;;26;50;132;24;2;12;553
2018-03;Região de Saúde Norte;Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;294;197;959;27;;163;219;606;42;18;14;2539
2018-03;Região de Saúde Norte;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;41.1094138,-8.5972617;517;360;1111;31;;186;276;784;58;14;20;3357
2018-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015,-8.5933462;4;0;34;2;;8;21;21;4;1;3;98
2018-03;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649,-8.6649823;35;23;135;13;;8;28;123;16;2;8;391
2018-03;Região de Saúde do Centro;Hospital Doutor Francisco Zagalo - Ovar;40.8571967,-8.6318023;11;0;49;0;;11;17;27;4;0;3;122
2018-03;Região de Saúde LVT;Instituto de Oftalmologia Gama Pinto;38.7218793,-9.144249;30;8;22;1;;10;17;14;4;1;7;114
2018-03;Serviços Centrais;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827,-9.1663422;7;0;3;94;;106;88;59;79;2;54;492
2018-03;Região de Saúde Norte;Unidade Local de Saúde Matosinhos, E.P.E.;41.1794456,-8.6745115;407;256;778;18;;128;283;376;46;12;29;2333
2018-03;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, E.P.E.;41.7056054,-8.8252713;398;196;931;35;;107;346;466;61;10;15;2565
2018-03;Região de Saúde do Alentejo;Unidade Local de Saúde Baixo Alentejo, E.P.E.;38.014123,-7.8721227;154;70;556;30;;128;243;393;45;17;19;1655
2018-04;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;262;95;462;33;;101;310;184;88;9;11;1555
2018-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;115;88;377;10;;92;162;291;62;9;9;1215
2018-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;225;156;790;23;;119;162;501;30;8;10;2024
2018-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;541;417;1284;28;;299;378;868;76;12;27;3930
2018-04;Região de Saúde Norte;Hospital da Senhora da Oliveira - Guimarães, E.P.E.;41.4387173,-8.3086907;250;177;620;11;;98;123;298;33;4;13;1627
2018-04;Região de Saúde Norte;Instituto Português Oncologia Francisco Gentil - Porto, E.P.E.;41.1785642,-8.6062881;283;101;713;69;;181;205;494;64;12;13;2135
2018-04;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, E.P.E.;39.8212263,-7.4981271;153;60;466;16;;74;172;271;30;11;9;1262
2018-04;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;88;48;351;6;;74;149;195;16;5;13;945
2018-04;Região de Saúde Norte;Unidade Local de Saúde Nordeste, E.P.E.;41.8056532,-6.7888197;203;108;636;21;;128;270;406;57;15;6;1850
2018-05;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;1;0;4;1;;0;33;6;112;4;26;187
2018-05;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;226;155;787;22;;122;161;505;31;8;10;2027
2018-05;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;259;134;702;18;;117;138;365;21;5;21;1780
2018-05;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E.P.E.;40.9293884,-8.5458794;277;156;637;17;;122;166;597;40;10;12;2034
2018-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;831;679;1838;76;;500;620;1446;170;26;63;6249
2018-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;448;298;1544;21;;324;499;1027;149;22;33;4365
2018-05;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;197;125;519;4;;125;149;344;32;7;25;1527
2018-05;Região de Saúde LVT;Instituto Português Oncologia Francisco Gentil - Lisboa, E.P.E.;38.7396768,-9.1634516;260;106;532;20;;180;228;398;105;12;35;1876
2018-05;Região de Saúde Norte;Unidade Local de Saúde Matosinhos, E.P.E.;41.1794456,-8.6745115;407;252;780;18;;129;284;371;48;12;31;2332
2018-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;40.203782,-8.419176;974;417;1337;72;;148;1016;456;204;19;19;4662
2018-06;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;183;102;620;10;;155;168;422;34;8;22;1724
2018-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;120;78;375;10;;92;163;291;62;10;9;1210
2018-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984,-8.4802503;171;57;385;12;;77;107;251;15;4;15;1094
2018-06;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E.P.E.;40.9293884,-8.5458794;274;156;637;17;;122;166;597;40;10;11;2030
2018-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;58;44;156;46;;25;50;129;25;3;12;548
2018-06;Região de Saúde Norte;Hospital da Senhora da Oliveira - Guimarães, E.P.E.;41.4387173,-8.3086907;257;164;618;11;;98;123;297;33;4;13;1618
2018-06;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946,-8.6937515;178;112;582;10;;110;133;446;26;6;15;1618
2018-06;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;197;123;531;4;;124;149;344;34;7;28;1541
2018-06;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;389;269;992;36;;209;274;681;52;9;35;2946
2018-06;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234,-8.6171561;59;43;176;5;;27;48;128;13;3;4;506
2018-06;Região de Saúde LVT;Instituto de Oftalmologia Gama Pinto;38.7218793,-9.144249;30;8;23;1;;10;17;14;4;1;4;112
2018-06;Região de Saúde do Centro;Instituto Português Oncologia Francisco Gentil - Coimbra, E.P.E.;40.2162514,-8.4103814;145;46;269;27;;93;123;255;28;5;11;1002
2018-06;Serviços Centrais;Secretaria Geral do Ministério da Saúde;38.7362218,-9.1463126;0;0;0;0;;0;9;15;23;1;7;55
2018-06;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;92;41;350;6;;76;150;196;17;5;14;947
2015-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;498;375;1184;31;;292;398;815;;;115;3708
2015-01;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;141;100;494;13;;111;186;357;;;46;1448
2015-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;632;427;1244;64;;265;422;899;;;111;4064
2015-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711,-8.7589945;74;26;206;5;;30;69;134;;;35;579
2015-01;Região de Saúde Norte;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;41.1094138,-8.5972617;451;337;966;32;;167;277;765;;;91;3086
2015-01;Serviços Centrais;Direção-Geral da Saúde;38.7364065,-9.1379161;17;1;10;3;;2;33;13;;;58;137
2015-01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, E.P.E.;40.117897,-8.8586755;75;45;181;5;;51;56;122;;;26;561
2015-01;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946,-8.6937515;153;117;494;13;;95;129;376;;;44;1421
2015-01;Região de Saúde do Centro;Hospital Doutor Francisco Zagalo - Ovar;40.8571967,-8.6318023;13;0;49;0;;11;17;31;;;6;127
2015-01;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;178;112;459;5;;116;145;326;;;61;1402
2015-01;Serviços Centrais;Inspeção-Geral das Atividades em Saúde;38.7156219,-9.1431603;1;0;0;0;;0;18;5;;;59;83
2015-01;Região de Saúde do Centro;Instituto Português Oncologia Francisco Gentil - Coimbra, E.P.E.;40.2162514,-8.4103814;124;42;240;28;;85;122;236;;;38;915
2015-01;Serviços Centrais;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;38.7653399,-9.1611815;1;0;0;3;;0;42;2;;;120;168
2015-01;Região de Saúde do Centro;Unidade Local de Saúde Guarda, E.P.E.;40.5309916,-7.2734793;187;82;616;28;;104;185;403;;;45;1650
2015-01;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, E.P.E.;39.8212263,-7.4981271;147;70;456;16;;71;172;257;;;43;1232
2016-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E.P.E.;39.478072,-8.5404429;135;75;679;26;;140;174;484;;;65;1778
2016-01;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;52;50;150;49;;26;57;145;;;33;562
2016-01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;301;202;819;22;;156;224;518;;;48;2290
2016-01;Região de Saúde Norte;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;41.1094138,-8.5972617;470;348;998;32;;167;272;745;;;90;3122
2016-01;Região de Saúde Norte;Hospital da Senhora da Oliveira - Guimarães, E.P.E.;41.4387173,-8.3086907;238;166;552;11;;95;123;288;;;48;1521
2016-01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, E.P.E.;40.117897,-8.8586755;77;52;193;5;;50;60;127;;;28;592
2016-01;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946,-8.6937515;161;124;524;12;;104;136;393;;;46;1500
2016-01;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713,-9.1822554;337;219;882;11;;178;224;569;;;102;2522
2016-01;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, E.P.E.;39.8212263,-7.4981271;148;80;459;16;;72;171;278;;;49;1273
2016-01;Região de Saúde Norte;Unidade Local de Saúde Matosinhos, E.P.E.;41.1794456,-8.6745115;385;245;787;8;;128;286;388;;;91;2318
2017-01;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;179;114;617;11;;153;169;436;;;59;1738
2017-01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;115;80;393;5;;92;166;288;;;84;1223
2017-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;226;145;730;9;;158;214;637;;;76;2195
2017-01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;319;220;844;23;;159;228;506;;;49;2348
2017-01;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015,-8.5933462;4;0;33;2;;8;20;22;;;7;96
2017-01;Região de Saúde Norte;Hospital da Senhora da Oliveira - Guimarães, E.P.E.;41.4387173,-8.3086907;244;179;592;11;;99;124;296;;;45;1590
2017-01;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, E.P.E.;40.117897,-8.8586755;84;55;204;5;;51;61;132;;;28;620
2017-01;Região de Saúde LVT;Instituto de Oftalmologia Gama Pinto;38.7218793,-9.144249;32;9;24;1;;10;17;16;;;11;120
2017-01;Região de Saúde LVT;Instituto Português Oncologia Francisco Gentil - Lisboa, E.P.E.;38.7396768,-9.1634516;240;107;528;22;;185;234;405;;;142;1863
2017-01;Serviços Centrais;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767,-9.1489431;0;0;0;0;;0;53;8;;;202;263
2017-01;Região de Saúde do Centro;Unidade Local de Saúde Guarda, E.P.E.;40.5309916,-7.2734793;198;80;666;27;;115;182;392;;;57;1717
2017-01;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, E.P.E.;41.7056054,-8.8252713;391;189;890;35;;108;349;477;;;83;2522
2017-01;Região de Saúde Norte;Unidade Local de Saúde Nordeste, E.P.E.;41.8056532,-6.7888197;204;114;624;23;;129;273;423;;;80;1870
2016-10;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;223;127;744;21;;120;162;515;;;49;1961
2016-10;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;154;97;571;14;;115;186;325;;;43;1505
2016-10;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;816;586;1806;77;;494;645;1452;;;263;6139
2016-10;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.;41.3828711,-8.7589945;92;30;219;5;;34;71;151;;;40;642
2016-10;Região de Saúde Norte;Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;272;157;891;27;;162;223;625;;;70;2427
2016-10;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015,-8.5933462;4;0;34;2;;8;20;22;;;7;97
2016-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;367;236;914;35;;203;284;670;;;93;2802
2016-10;Serviços Centrais;Instituto Nacional de Emergência Médica, I.P.;38.7313954,-9.1447467;6;0;115;0;;0;268;9;;;886;1284
